id,group,du_health,du_heafood,du_hou_tsa,du_pollu,du_hou_bik
ID 309,Group 1,634,634,634,222,634
ID 310,Group 2,526,526,526,249,526
ID 311,Group 3,2183,2183,2183,3,2183
ID 312,Group 1,1607,1607,1607,299,1607
ID 313,Group 2,1242,1242,1242,294,1242
ID 314,Group 1,843,843,843,0,843
ID 315,Group 2,1056,1056,1056,0,1056
ID 316,Group 3,324,608,608,0,608
ID 317,Group 4,0,874,874,0,874
ID 318,Group 5,24,24,24,0,24
ID 319,Group 1,0,2182,2182,0,2182
ID 328,Group 1,850,850,850,0,850
ID 320,Group 2,0,2657,2657,1635,2657
ID 321,Group 3,604,1236,1236,0,1236
ID 322,Group 1,0,0,0,0,0
ID 323,Group 1,1706,1706,1706,637,1706
ID 329,Group 2,616,616,616,11,616
ID 324,Group 2,1417,1436,1454,1324,1454
ID 325,Group 1,429,429,429,96,429
ID 326,Group 2,492,492,492,442,492
ID 327,Group 1,2324,2326,2326,788,2326
ID 330,Group 3,487,487,487,300,487
ID 331,Group 1,437,577,577,0,577
ID 332,Group 2,619,619,619,0,619
ID 333,Group 3,849,967,967,35,967
ID 334,Group 1,265,1089,932,523,1260
ID 335,Group 9,0,0,0,0,0
ID 336,Group 9,0,0,0,0,0
ID 337,Group 9,0,873,873,0,873
ID 342,Group 1,0,1442,756,1109,1442
ID 338,Group 1,0,786,782,649,786
ID 339,Group 2,0,295,271,112,238
ID 340,Group 3,0,279,279,261,279
ID 341,Group 1,0,501,501,0,501
ID 343,Group 1,0,709,709,0,688
ID 344,Group 2,0,801,569,0,930
ID 345,Group 3,0,816,426,0,816
ID 346,Group 1,0,700,436,0,1033
ID 347,Group 2,0,493,336,0,493
ID 348,Group 3,0,611,615,0,615
ID 349,Group 1,0,746,727,0,714
ID 350,Group 2,0,663,649,0,513
ID 351,Group 3,0,586,586,0,452
ID 352,Group 1,0,218,3,0,175
ID 353,Group 2,0,138,3,0,15
ID 354,Group 3,0,176,173,0,98
ID 355,Group 4,0,197,236,0,20
ID 356,Group 1,0,706,718,0,131
ID 357,Group 2,0,772,255,0,0
ID 358,Group 1,0,1287,0,0,0
ID 359,Group 1,0,1037,0,0,1001
ID 363,Group 1,0,263,0,0,12
ID 470,Group 6,0,1060,1060,0,332
ID 360,Group 2,0,955,0,0,762
ID 361,Group 3,0,449,0,0,40
ID 362,Group 4,0,543,0,0,0
ID 400,Group 1,0,274,274,0,274
ID 364,Group 2,0,150,0,0,0
ID 365,Group 3,0,225,0,0,0
ID 366,Group 1,0,431,2,0,431
ID 367,Group 2,0,545,0,0,601
ID 368,Group 3,0,686,0,0,681
ID 1734,Group ,,,,,
ID 369,Group 4,0,545,0,0,545
ID 370,Group 5,0,565,0,0,554
ID 371,Group 6,0,311,0,0,255
ID 372,Group 1,0,464,0,0,464
ID 373,Group 2,0,321,0,0,321
ID 1735,Group ,,,,,
ID 374,Group 3,0,494,0,0,494
ID 375,Group 4,0,637,0,0,637
ID 376,Group 5,0,391,0,0,391
ID 377,Group 1,0,312,0,0,312
ID 378,Group 2,0,970,0,0,970
ID 379,Group 3,0,494,0,0,494
ID 380,Group 1,384,415,415,0,415
ID 381,Group 2,524,524,524,0,524
ID 382,Group 3,0,179,209,0,712
ID 383,Group 4,943,1127,1079,0,1127
ID 384,Group 5,96,420,420,0,420
ID 401,Group 2,0,478,478,0,478
ID 385,Group 6,0,559,559,0,559
ID 386,Group 7,0,549,102,0,549
ID 387,Group 1,208,589,607,0,607
ID 388,Group 2,338,228,633,0,633
ID 389,Group 3,39,0,393,0,393
ID 390,Group 4,0,0,455,0,455
ID 391,Group 5,550,479,690,0,690
ID 392,Group 6,1273,820,1432,0,1432
ID 393,Group 7,253,72,253,0,253
ID 394,Group 1,273,218,273,178,273
ID 402,Group 3,32,626,626,0,626
ID 395,Group 2,495,504,504,0,504
ID 396,Group 3,116,874,874,0,874
ID 397,Group 4,0,383,383,0,383
ID 398,Group 5,11,279,264,0,279
ID 399,Group 6,149,320,149,25,376
ID 403,Group 4,475,628,628,0,628
ID 404,Group 5,213,714,714,0,714
ID 405,Group 6,0,417,417,0,417
ID 406,Group 1,0,567,549,0,567
ID 407,Group 2,730,937,937,0,937
ID 408,Group 3,346,475,475,0,475
ID 409,Group 4,267,571,571,0,571
ID 410,Group 1,904,904,904,0,904
ID 411,Group 2,504,543,543,0,543
ID 412,Group 3,875,929,929,0,929
ID 413,Group 4,876,876,876,0,876
ID 414,Group 1,0,562,460,0,568
ID 415,Group 2,0,505,477,0,505
ID 416,Group 3,0,691,691,0,691
ID 417,Group 4,0,597,597,0,597
ID 418,Group 5,0,363,363,0,363
ID 419,Group 6,0,443,443,0,443
ID 420,Group 7,0,411,440,0,440
ID 421,Group 8,0,355,355,0,355
ID 422,Group 1,0,317,122,0,283
ID 423,Group 2,36,207,149,0,223
ID 424,Group 3,12,307,230,0,341
ID 425,Group 1,0,428,428,0,428
ID 426,Group 2,0,324,324,0,324
ID 427,Group 3,0,87,445,0,445
ID 428,Group 4,0,75,621,0,621
ID 1736,Group 2,0,11,0,0,0
ID 429,Group 5,0,404,430,0,430
ID 430,Group 1,0,216,568,0,568
ID 431,Group 2,0,525,525,0,525
ID 435,Group 3,0,498,498,0,422
ID 432,Group 3,0,173,382,0,382
ID 433,Group 1,0,423,423,0,371
ID 434,Group 2,0,632,632,0,632
ID 436,Group 4,0,718,718,0,675
ID 1737,Group 3,120,129,0,0,0
ID 437,Group 1,44,168,75,144,453
ID 438,Group 2,0,10,0,0,225
ID 439,Group 3,0,10,0,0,0
ID 440,Group 1,0,4,39,0,0
ID 441,Group 2,0,106,356,0,10
ID 442,Group 3,0,15,0,0,60
ID 443,Group 4,0,484,552,0,560
ID 444,Group 1,744,796,796,700,0
ID 445,Group 1,0,236,0,0,0
ID 446,Group 2,0,0,0,144,0
ID 447,Group 3,0,128,10,4,0
ID 448,Group 1,0,512,462,0,0
ID 449,Group 2,0,154,154,0,0
ID 450,Group 3,0,526,539,134,0
ID 451,Group 4,0,279,2,33,0
ID 452,Group 1,0,395,0,41,0
ID 457,Group 3,0,4,63,0,347
ID 453,Group 2,0,96,0,0,0
ID 454,Group 3,0,196,105,0,245
ID 455,Group 1,0,1,0,0,120
ID 456,Group 2,0,72,76,0,99
ID 458,Group 1,0,0,219,0,0
ID 468,Group 4,0,419,359,333,0
ID 459,Group 2,0,38,322,0,0
ID 460,Group 3,0,223,473,0,0
ID 461,Group 4,0,451,456,0,0
ID 462,Group 5,0,300,311,0,0
ID 463,Group 1,0,20,238,15,117
ID 464,Group 2,0,22,266,0,0
ID 465,Group 1,0,765,765,371,597
ID 466,Group 2,0,402,402,309,58
ID 467,Group 3,0,162,162,162,0
ID 471,Group 1,0,583,0,143,665
ID 472,Group 2,0,183,0,0,184
ID 473,Group 3,0,171,0,0,215
ID 474,Group 4,0,671,0,41,902
ID 1738,Group 1,0,82,0,0,0
ID 475,Group 5,0,247,0,0,278
ID 476,Group 6,0,231,0,68,241
ID 477,Group 7,0,186,0,310,408
ID 478,Group 1,0,684,0,162,1333
ID 492,Group 2,0,275,0,0,295
ID 479,Group 2,0,1084,0,0,1129
ID 480,Group 1,0,0,0,0,1092
ID 481,Group 1,0,2612,0,0,3377
ID 482,Group 1,0,688,0,0,2094
ID 483,Group 1,0,91,0,226,897
ID 484,Group 1,0,0,0,180,1104
ID 488,Group 2,0,1571,0,495,1951
ID 485,Group 1,0,1805,0,348,1544
ID 489,Group 1,0,191,0,0,133
ID 490,Group 2,0,305,0,0,188
ID 486,Group 1,0,0,0,771,1385
ID 487,Group 1,0,119,0,0,0
ID 491,Group 1,0,570,0,221,1024
ID 493,Group 1,0,79,0,203,1091
ID 494,Group 1,166,578,774,0,22
ID 495,Group 1,0,3609,1521,0,0
ID 575,Group 2,0,435,0,0,435
ID 496,Group 2,0,299,237,0,0
ID 497,Group 1,574,3260,3260,0,0
ID 498,Group 1,0,4125,5267,1535,1409
ID 499,Group 1,0,1946,1946,0,0
ID 500,Group 2,0,463,463,0,0
ID 501,Group 1,0,251,187,64,0
ID 502,Group 2,0,143,92,0,0
ID 503,Group 1,0,0,0,95,0
ID 504,Group 2,0,412,41,556,0
ID 505,Group 3,0,409,357,43,0
ID 506,Group 1,0,44,159,0,0
ID 507,Group 1,0,95,0,0,0
ID 508,Group 2,0,390,0,0,0
ID 1741,Group ,,,,,
ID 509,Group 3,4,162,128,0,0
ID 510,Group 1,0,656,1050,0,0
ID 511,Group 2,0,4,195,0,0
ID 512,Group 1,220,417,202,0,0
ID 513,Group 2,318,443,445,0,0
ID 514,Group 3,6,143,206,0,0
ID 515,Group 1,0,144,0,0,0
ID 516,Group 2,0,833,1208,0,0
ID 517,Group 3,0,32,296,0,0
ID 518,Group 1,200,321,321,0,0
ID 519,Group 2,28,134,243,0,0
ID 520,Group 3,0,282,201,0,0
ID 521,Group 4,8,53,240,0,0
ID 522,Group 1,0,274,0,0,0
ID 589,Group 1,0,214,312,0,200
ID 523,Group 2,0,466,0,0,0
ID 524,Group 3,0,418,0,0,0
ID 525,Group 1,0,329,0,0,0
ID 526,Group 2,0,115,0,0,0
ID 527,Group 3,0,361,16,0,51
ID 528,Group 1,0,61,34,502,610
ID 529,Group 1,0,239,19,0,0
ID 530,Group 2,0,538,526,0,0
ID 531,Group 1,551,512,666,0,0
ID 1742,Group 5,25,95,0,0,0
ID 532,Group 2,54,602,19,0,0
ID 533,Group 1,0,323,381,0,0
ID 534,Group 2,1,226,226,0,0
ID 535,Group 3,657,735,735,0,0
ID 536,Group 1,351,730,724,0,0
ID 1743,Group 1,0,18,0,0,0
ID 537,Group 2,0,283,283,0,0
ID 538,Group 3,0,407,617,0,0
ID 539,Group 4,54,606,637,0,0
ID 540,Group 1,0,601,956,831,0
ID 541,Group 2,0,347,874,163,0
ID 564,Group 5,0,184,190,0,0
ID 542,Group 1,0,492,716,480,0
ID 543,Group 2,0,352,552,0,0
ID 544,Group 3,0,593,131,0,0
ID 545,Group 1,0,594,0,0,0
ID 550,Group 2,0,368,448,0,23
ID 546,Group 2,0,654,0,122,120
ID 547,Group 3,0,187,0,0,0
ID 548,Group 4,0,136,88,0,0
ID 549,Group 1,0,137,397,1,9
ID 551,Group 3,0,165,230,0,0
ID 552,Group 4,0,253,253,0,0
ID 553,Group 5,0,281,279,0,0
ID 554,Group 6,0,231,305,0,0
ID 555,Group 1,0,508,520,0,0
ID 556,Group 2,0,636,685,0,283
ID 557,Group 3,0,174,0,0,38
ID 558,Group 4,0,396,0,0,451
ID 559,Group 5,0,737,0,0,451
ID 560,Group 1,0,303,323,0,40
ID 561,Group 2,0,131,190,0,0
ID 562,Group 3,0,615,733,0,0
ID 563,Group 4,0,138,407,0,0
ID 565,Group 6,0,316,318,0,75
ID 566,Group 1,0,335,353,81,376
ID 567,Group 2,0,198,198,0,198
ID 568,Group 3,0,234,234,25,234
ID 569,Group 4,0,90,292,2,117
ID 570,Group 5,0,515,515,0,469
ID 571,Group 1,0,723,723,0,723
ID 572,Group 2,0,526,558,0,467
ID 573,Group 3,0,502,529,0,413
ID 574,Group 1,0,281,92,228,477
ID 576,Group 3,0,631,424,0,631
ID 577,Group 4,0,627,619,0,707
ID 578,Group 5,0,372,279,0,388
ID 579,Group 6,0,409,409,0,409
ID 580,Group 1,0,345,6,5,392
ID 581,Group 2,0,52,110,0,370
ID 582,Group 3,0,0,285,0,284
ID 583,Group 4,0,1160,1143,0,1240
ID 584,Group 5,0,341,307,0,341
ID 590,Group 2,0,322,160,0,0
ID 585,Group 1,0,1253,1273,291,1273
ID 586,Group 2,0,542,595,42,700
ID 587,Group 3,0,898,864,661,902
ID 588,Group 1,0,469,1088,386,369
ID 591,Group 3,0,354,195,0,27
ID 592,Group 1,0,467,122,0,42
ID 593,Group 2,0,366,8,0,0
ID 611,Group 2,0,211,211,0,44
ID 594,Group 1,37,127,667,0,230
ID 595,Group 2,658,707,739,0,739
ID 596,Group 3,290,296,296,0,296
ID 597,Group 1,89,242,545,0,545
ID 620,Group 2,0,370,351,0,0
ID 598,Group 2,168,710,724,679,724
ID 599,Group 1,522,490,490,522,0
ID 600,Group 2,489,26,494,126,500
ID 601,Group 3,312,103,352,243,742
ID 629,Group 1,10,275,0,10,10
ID 602,Group 1,506,404,543,128,543
ID 603,Group 2,868,961,966,3,966
ID 604,Group 3,23,252,323,270,456
ID 605,Group 1,217,399,399,0,298
ID 606,Group 2,0,241,241,0,82
ID 607,Group 3,0,410,506,1,314
ID 608,Group 4,0,161,975,161,975
ID 609,Group 1,0,350,1448,601,1448
ID 610,Group 1,200,816,976,0,274
ID 1744,Group 2,61,58,0,6,0
ID 612,Group 1,0,76,330,1,157
ID 613,Group 2,0,455,832,0,0
ID 614,Group 3,0,361,446,184,226
ID 615,Group 4,0,0,256,132,154
ID 616,Group 5,14,14,49,82,242
ID 617,Group 1,0,876,933,0,0
ID 618,Group 2,0,901,952,0,0
ID 619,Group 1,0,308,202,0,0
ID 630,Group 2,0,334,0,185,0
ID 621,Group 3,0,445,264,0,0
ID 622,Group 4,0,489,484,105,182
ID 623,Group 1,0,307,0,0,89
ID 624,Group 2,0,481,37,62,206
ID 631,Group 3,0,436,0,0,0
ID 625,Group 1,0,513,241,0,605
ID 626,Group 2,0,496,42,251,496
